Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160701, 151.779999, 152.970001, 151.399994, 152.350006, 2658300, 149.687507, 0, 1, 150.733753, -999
20160630, 148.860001, 151.910004, 148.669998, 151.779999, 3967100, 149.127461, 0, 1, 148.993731, -999
20160629, 146.5, 148.479996, 146.449997, 148.460007, 3367700, 145.86549, 0, 1, 146.182745, -999
20160628, 144.779999, 145.729996, 144.220001, 145.699997, 3997700, 143.153715, 0, 1, 143.966857, -999
20160627, 146.179993, 146.600006, 142.5, 143.5, 5017900, 140.992165, 0, 1, 143.586079, -999
20160624, 149.970001, 150.610001, 146.179993, 146.589996, 9082800, 144.02816, 0, 1, 146.9990805, -999
20160623, 153.449997, 155.479996, 152.600006, 155.350006, 3969400, 152.635078, 0, 1, 153.0425375, -999
20160622, 153.75, 154.710007, 152.270004, 152.919998, 2833700, 150.247538, 0, 1, 151.998769, -999
20160621, 154.160004, 154.570007, 153.690002, 154.050003, 2760300, 151.357794, 0, 1, 152.758899, -999
20160620, 152.600006, 154.669998, 152.520004, 153.610001, 3572100, 150.925481, 0, 1, 151.7627435, -999
20160617, 150.960007, 152.720001, 150.600006, 151.990005, 4663900, 149.333798, 0, 1, 150.1469025, -999
20160616, 150.190002, 151.289993, 149, 151.059998, 2449100, 148.420043, 0, 1, 149.3050225, -999
20160615, 151.460007, 151.789993, 150.600006, 150.679993, 2260400, 148.046679, 0, 1, 149.753343, -999
20160614, 151.279999, 151.789993, 150.399994, 151.059998, 2865800, 148.420043, 0, 1, 149.850021, -999
20160613, 151.630005, 152.5, 150.279999, 151.279999, 3610400, 148.636199, 0, 1, 150.133102, -999
20160610, 152.789993, 153.330002, 151.860001, 152.369995, 3120600, 149.707146, 0, 1, 151.2485695, -999
20160609, 152.919998, 153.759995, 152.729996, 153.419998, 2021800, 150.738799, 0, 1, 151.8293985, -999
20160608, 153.529999, 154.089996, 153.039993, 154, 2935000, 151.308665, 0, 1, 152.419332, -999
20160607, 153.309998, 153.929993, 152.660004, 153.330002, 4465000, 150.650376, 0, 1, 151.980187, -999
20160606, 153.089996, 153.949997, 152.339996, 152.729996, 2378700, 150.060856, 0, 1, 151.575426, -999
